===== LOG DUMP START =====
timestamp_ms,type,value1,value2
1690,TH,27.82,36.30
11703,TH,27.82,36.39
16367,ACCEL_PEAK,8.365,32
22009,TH,27.79,36.99
29641,ACCEL_PEAK,8.575,32
32384,TH,27.78,37.45
42395,TH,27.74,36.69
52407,TH,27.73,36.60
62419,TH,27.72,36.54
72434,TH,27.68,36.58
82451,TH,27.68,36.61
92469,TH,27.65,36.57
102532,TH,27.63,36.60
112544,TH,27.62,36.62
122559,TH,27.60,36.70
132576,TH,27.57,36.68
142640,TH,27.56,36.69
152653,TH,27.55,36.69
162666,TH,27.53,36.80
172682,TH,27.52,36.81
182743,TH,27.51,36.78
192759,TH,27.50,36.85
202774,TH,27.46,36.85
212788,TH,27.46,36.85
222805,TH,27.43,36.91
232847,TH,27.44,36.93
242895,TH,27.40,36.96
252912,TH,27.40,36.94
262932,TH,27.38,37.01
272953,TH,27.38,37.03
282974,TH,27.36,37.01
292995,TH,27.34,37.04
303075,TH,27.32,37.06
313088,TH,27.32,37.07
323101,TH,27.29,37.08
333116,TH,27.27,37.18
343130,TH,27.28,37.15
353146,TH,27.26,37.24
363162,TH,27.26,37.17
373178,TH,27.25,37.28
383194,TH,27.23,37.30
393213,TH,27.24,38.75
400594,ACCEL_PEAK,6.909,32
403583,TH,27.23,38.61

===== LOG DUMP END =====
